Year,SUM([Area (hectares) null])
1990,953323.6582535601
1991,1545787.6000064702
1992,851825.9200026302
1993,1950352.4000018241
1994,6161348.760002456
1995,7375354.840006007
1996,1861749.550002351
1997,632748.5400048482
1998,4741030.024004823
1999,1717142.9800017579
2000,634154.5610034878
2001,647669.471001218
2002,2763604.7960029775
2003,2168405.230001994
2004,3182999.2455995525
2005,1686769.9660046755
2006,2100679.690005414
2007,1785467.9670007774
2008,1664924.8010005234
2009,762566.8490006219
2010,3177965.3083988233
2011,2397427.8874737835
2012,1811691.0486921677
2013,4268502.363199047
2014,4545657.853800544
2015,3908380.3304396626
2016,1319606.25530173
2017,3589430.2611078243
2018,2328850.95436025
2019,1786214.4283414963
2020,218232.13132300004
2021,4307520.1
